task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
25	38/cbcb38	19539	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5743893)	COMPLETED	0	2023-10-23 16:51:53.141	37.1s	35s	1190.7%	277.7 MB	1.9 GB	116.8 MB	107.1 MB
23	e1/d6d8c0	21362	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BOWTIE2_ALIGN (ERR5181310)	COMPLETED	0	2023-10-23 16:52:30.285	4m 11s	4m 9s	1211.5%	291 MB	1.9 GB	820.8 MB	807.9 MB
27	0b/695af0	27542	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5405022)	COMPLETED	0	2023-10-23 16:56:41.625	2.3s	1s	511.0%	25.6 MB	4.9 GB	7.9 MB	7.4 MB
28	81/b94440	27829	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5556343)	COMPLETED	0	2023-10-23 16:56:43.922	2.7s	1s	514.4%	27.1 MB	5 GB	7.9 MB	7.2 MB
29	8f/1f5d64	28071	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (SRR13500958)	COMPLETED	0	2023-10-23 16:56:46.658	2.2s	1s	494.9%	30.1 MB	5 GB	12.1 MB	5.1 MB
30	64/9e45e0	28308	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5743893)	COMPLETED	0	2023-10-23 16:56:48.902	2.5s	1s	481.9%	28.1 MB	4.9 GB	5.1 MB	4.6 MB
31	61/4f16a6	28546	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_SORT (ERR5181310)	COMPLETED	0	2023-10-23 16:56:51.371	6.2s	4s	522.6%	732.8 MB	5.6 GB	35.6 MB	32.5 MB
32	9b/b55842	29006	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5405022)	COMPLETED	0	2023-10-23 16:56:57.586	2s	0ms	135.5%	6.6 MB	220.9 MB	7.5 MB	5 KB
33	1b/6bb549	29270	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5556343)	COMPLETED	0	2023-10-23 16:56:59.553	1.9s	0ms	134.8%	6.6 MB	220.9 MB	7.3 MB	5 KB
34	e8/a4d577	29492	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (SRR13500958)	COMPLETED	0	2023-10-23 16:57:01.478	1.8s	0ms	124.4%	6.4 MB	220.9 MB	5.2 MB	5 KB
35	ca/21468b	29709	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5743893)	COMPLETED	0	2023-10-23 16:57:03.290	1.8s	0ms	132.1%	6.6 MB	220.9 MB	4.7 MB	5 KB
36	36/7d1078	29929	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:SAMTOOLS_INDEX (ERR5181310)	COMPLETED	0	2023-10-23 16:57:05.099	2.8s	2s	139.3%	6.5 MB	220.9 MB	32.6 MB	5 KB
41	3d/9f77e5	30209	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5556343)	COMPLETED	0	2023-10-23 16:57:07.949	1.7s	0ms	94.1%	3.1 MB	5.4 MB	110.7 KB	4.9 KB
43	dc/64ee85	30431	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (SRR13500958)	COMPLETED	0	2023-10-23 16:57:09.678	1.8s	0ms	82.8%	3 MB	5.4 MB	110.7 KB	4.9 KB
44	22/9acdc6	30683	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (SRR13500958)	COMPLETED	0	2023-10-23 16:57:11.532	2s	0ms	128.0%	6.6 MB	220.9 MB	5.2 MB	5.4 KB
37	05/475b31	30909	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5405022)	COMPLETED	0	2023-10-23 16:57:13.544	2.1s	0ms	129.7%	6.6 MB	220.9 MB	7.5 MB	5.4 KB
38	84/d7deab	31137	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5405022)	COMPLETED	0	2023-10-23 16:57:15.640	2.2s	0ms	112.7%	3.1 MB	5.4 MB	110.7 KB	4.9 KB
40	08/6f1ee4	31363	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_FLAGSTAT (ERR5556343)	COMPLETED	0	2023-10-23 16:57:17.842	1.9s	1s	139.4%	6.5 MB	220.9 MB	7.3 MB	5.4 KB
50	c6/06c3ef	31583	NFCORE_VIRALRECON:ILLUMINA:FASTQ_ALIGN_BOWTIE2:BAM_SORT_STATS_SAMTOOLS:BAM_STATS_SAMTOOLS:SAMTOOLS_IDXSTATS (ERR5181310)	COMPLETED	0	2023-10-23 16:57:19.714	1.7s	0ms	112.3%	3.1 MB	5.4 MB	110.7 KB	4.9 KB
